OBJ_Critical= 0.37                                                                
fOBJ  LF0 r0  fINP  VP  PAR1  KP1 PAR2  PAR3  Qmax  Kba Kdes  rE  pEP fpEM  fD  gD  Vg  alpha KD  Yg  Ygsl  Q10 gamma beta  WPA2D tau wdorm VNup_MB KsNH4_MB  KsNO3_MB  Vnit  Vdenit  PAR4
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001061 0.01411386  1.85674118  0.89402303  0.21225788  0.01522892  0.01003373  0.00010006  0.33637887  0.00125718  1.70093332  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010598  0.01411386  1.93046628  0.89402303  0.20105932  0.01522892  0.01004193  0.00010006  0.33430392  0.00125718  1.70056117  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010732  0.01445592  1.90247964  0.88871263  0.20109221  0.01515709  0.01000954  0.00010006  0.33078861  0.00136613  1.70023105  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010705  0.01454213  1.88016232  0.88899358  0.20165027  0.015073  0.01000813  0.00010006  0.3279213 0.00137046  1.70090185  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010771  0.01404235  1.92368611  0.8862744 0.20211224  0.01539556  0.01004331  0.00010006  0.33659228  0.00140815  1.70097522  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010658  0.01407313  1.93357986  0.88519 0.19549924  0.01552309  0.01003499  0.00010006  0.33894181  0.00152231  1.70029522  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010734  0.01422 1.91443938  0.88443217  0.19948346  0.0154033 0.01005182  0.00010006  0.33712436  0.00140818  1.70052964  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010669  0.01444062  1.90203331  0.88685436  0.20249111  0.01526204  0.01001972  0.00010006  0.33345133  0.00138059  1.70183745  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010647  0.01445145  1.9069957 0.88265913  0.19556701  0.01533042  0.01001044  0.00010006  0.33447548  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010851  0.01467454  1.89643452  0.89164193  0.20112131  0.01511628  0.01003414  0.00010006  0.3324668 0.00155637  1.70079184  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010567  0.01402827  1.88791545  0.8973465 0.2037499 0.01514314  0.01003638  0.00010006  0.33166656  0.00124275  1.70030825  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010702  0.01430881  1.88018176  0.89725044  0.20717754  0.0150555 0.01001153  0.00010006  0.32808937  0.00127567  1.70056621  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
